gene	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ015025	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X6A1]	ID=gene:CPIJ015025;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X6A1];gene_id=CPIJ015025;logic_name=vectorbase_culex
CPIJ015026	0	0	1		Venom allergen 5 [Source:UniProtKB/TrEMBL%3BAcc:B0X6A2]	ID=gene:CPIJ015026;biotype=protein_coding;description=Venom allergen 5 [Source:UniProtKB/TrEMBL%3BAcc:B0X6A2];gene_id=CPIJ015026;logic_name=vectorbase_culex
CPIJ015028	0	0	1		Venom allergen 5 [Source:UniProtKB/TrEMBL%3BAcc:B0X6A4]	ID=gene:CPIJ015028;biotype=protein_coding;description=Venom allergen 5 [Source:UniProtKB/TrEMBL%3BAcc:B0X6A4];gene_id=CPIJ015028;logic_name=vectorbase_culex
CPIJ015035	0	1	0		Myosin-IB [Source:UniProtKB/TrEMBL%3BAcc:B0X747]	ID=gene:CPIJ015035;biotype=protein_coding;description=Myosin-IB [Source:UniProtKB/TrEMBL%3BAcc:B0X747];gene_id=CPIJ015035;logic_name=vectorbase_culex
CPIJ015042	0	0	1		60S ribosomal protein L15/L27 [Source:VB Community Annotation]	ID=gene:CPIJ015042;biotype=protein_coding;description=60S ribosomal protein L15/L27 [Source:VB Community Annotation];gene_id=CPIJ015042;logic_name=vectorbase_culex
CPIJ015054	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X6E6]	ID=gene:CPIJ015054;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X6E6];gene_id=CPIJ015054;logic_name=vectorbase_culex
CPIJ015095	0	0	1		galactose-specific C-type lectin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015095;biotype=protein_coding;description=galactose-specific C-type lectin%2C putative [Source:VB Community Annotation];gene_id=CPIJ015095;logic_name=vectorbase_culex
CPIJ015099	0	0	1	RpS13	40S ribosomal protein S13 [Source:UniProtKB/TrEMBL%3BAcc:B0X663]	ID=gene:CPIJ015099;Name=RpS13;biotype=protein_coding;description=40S ribosomal protein S13 [Source:UniProtKB/TrEMBL%3BAcc:B0X663];gene_id=CPIJ015099;logic_name=vectorbase_culex
CPIJ015125	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X655]	ID=gene:CPIJ015125;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X655];gene_id=CPIJ015125;logic_name=vectorbase_culex
CPIJ015126	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X656]	ID=gene:CPIJ015126;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X656];gene_id=CPIJ015126;logic_name=vectorbase_culex
CPIJ015127	0	0	1		sterol carrier protein 2%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015127;biotype=protein_coding;description=sterol carrier protein 2%2C putative [Source:VB Community Annotation];gene_id=CPIJ015127;logic_name=vectorbase_culex
CPIJ015157	0	0	1		Lsm6 protein [Source:UniProtKB/TrEMBL%3BAcc:B0X703]	ID=gene:CPIJ015157;biotype=protein_coding;description=Lsm6 protein [Source:UniProtKB/TrEMBL%3BAcc:B0X703];gene_id=CPIJ015157;logic_name=vectorbase_culex
CPIJ015236	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X710]	ID=gene:CPIJ015236;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X710];gene_id=CPIJ015236;logic_name=vectorbase_culex
CPIJ015286	0	0	1		60S ribosomal protein L12 [Source:UniProtKB/TrEMBL%3BAcc:B0X7A6]	ID=gene:CPIJ015286;biotype=protein_coding;description=60S ribosomal protein L12 [Source:UniProtKB/TrEMBL%3BAcc:B0X7A6];gene_id=CPIJ015286;logic_name=vectorbase_culex
CPIJ015331	0	0	1		Calmin [Source:UniProtKB/TrEMBL%3BAcc:B0X6K7]	ID=gene:CPIJ015331;biotype=protein_coding;description=Calmin [Source:UniProtKB/TrEMBL%3BAcc:B0X6K7];gene_id=CPIJ015331;logic_name=vectorbase_culex
CPIJ015390	0	0	1		MICOS complex subunit MIC13 [Source:UniProtKB/TrEMBL%3BAcc:B0X7Y1]	ID=gene:CPIJ015390;biotype=protein_coding;description=MICOS complex subunit MIC13 [Source:UniProtKB/TrEMBL%3BAcc:B0X7Y1];gene_id=CPIJ015390;logic_name=vectorbase_culex
CPIJ015401	0	0	1		galactose-specific C-type lectin%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015401;biotype=protein_coding;description=galactose-specific C-type lectin%2C putative [Source:VB Community Annotation];gene_id=CPIJ015401;logic_name=vectorbase_culex
CPIJ015418	0	0	1	APG10	autophagy related gene [Source:VB Community Annotation]	ID=gene:CPIJ015418;Name=APG10;biotype=protein_coding;description=autophagy related gene [Source:VB Community Annotation];gene_id=CPIJ015418;logic_name=vectorbase_culex
CPIJ015443	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X8G3]	ID=gene:CPIJ015443;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X8G3];gene_id=CPIJ015443;logic_name=vectorbase_culex
CPIJ015490	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X7H4]	ID=gene:CPIJ015490;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X7H4];gene_id=CPIJ015490;logic_name=vectorbase_culex
CPIJ015536	0	0	1		outer mitochondrial translocase subunit%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015536;biotype=protein_coding;description=outer mitochondrial translocase subunit%2C putative [Source:VB Community Annotation];gene_id=CPIJ015536;logic_name=vectorbase_culex
CPIJ015554	0	0	1	RpS28	40S ribosomal protein S28 [Source:UniProtKB/TrEMBL%3BAcc:B0X8K6]	ID=gene:CPIJ015554;Name=RpS28;biotype=protein_coding;description=40S ribosomal protein S28 [Source:UniProtKB/TrEMBL%3BAcc:B0X8K6];gene_id=CPIJ015554;logic_name=vectorbase_culex
CPIJ015556	0	0	1	RpS28	40S ribosomal protein S28 [Source:UniProtKB/TrEMBL%3BAcc:B0X8K6]	ID=gene:CPIJ015556;Name=RpS28;biotype=protein_coding;description=40S ribosomal protein S28 [Source:UniProtKB/TrEMBL%3BAcc:B0X8K6];gene_id=CPIJ015556;logic_name=vectorbase_culex
CPIJ015566	0	0	1		Cytochrome c oxidase subunit VIIa [Source:UniProtKB/TrEMBL%3BAcc:B0X8L8]	ID=gene:CPIJ015566;biotype=protein_coding;description=Cytochrome c oxidase subunit VIIa [Source:UniProtKB/TrEMBL%3BAcc:B0X8L8];gene_id=CPIJ015566;logic_name=vectorbase_culex
CPIJ015567	0	0	1		NBP2b protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015567;biotype=protein_coding;description=NBP2b protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ015567;logic_name=vectorbase_culex
CPIJ015579	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X7C5]	ID=gene:CPIJ015579;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X7C5];gene_id=CPIJ015579;logic_name=vectorbase_culex
CPIJ015587	1	0	0		Oligosaccharyl transferase [Source:UniProtKB/TrEMBL%3BAcc:B0X8A0]	ID=gene:CPIJ015587;biotype=protein_coding;description=Oligosaccharyl transferase [Source:UniProtKB/TrEMBL%3BAcc:B0X8A0];gene_id=CPIJ015587;logic_name=vectorbase_culex
CPIJ015603	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X808]	ID=gene:CPIJ015603;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X808];gene_id=CPIJ015603;logic_name=vectorbase_culex
CPIJ015604	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X809]	ID=gene:CPIJ015604;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X809];gene_id=CPIJ015604;logic_name=vectorbase_culex
CPIJ015624	0	0	1		60S ribosomal protein L17 [Source:UniProtKB/TrEMBL%3BAcc:B0X7V4]	ID=gene:CPIJ015624;biotype=protein_coding;description=60S ribosomal protein L17 [Source:UniProtKB/TrEMBL%3BAcc:B0X7V4];gene_id=CPIJ015624;logic_name=vectorbase_culex
CPIJ015637	0	0	1		Antioxidant enzyme [Source:UniProtKB/TrEMBL%3BAcc:B0X8C6]	ID=gene:CPIJ015637;biotype=protein_coding;description=Antioxidant enzyme [Source:UniProtKB/TrEMBL%3BAcc:B0X8C6];gene_id=CPIJ015637;logic_name=vectorbase_culex
CPIJ015641	0	0	1		RNA-binding motif protein [Source:UniProtKB/TrEMBL%3BAcc:B0X8G8]	ID=gene:CPIJ015641;biotype=protein_coding;description=RNA-binding motif protein [Source:UniProtKB/TrEMBL%3BAcc:B0X8G8];gene_id=CPIJ015641;logic_name=vectorbase_culex
CPIJ015647	1	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X8H4]	ID=gene:CPIJ015647;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X8H4];gene_id=CPIJ015647;logic_name=vectorbase_culex
CPIJ015727	0	0	1		apolipoprotein D%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015727;biotype=protein_coding;description=apolipoprotein D%2C putative [Source:VB Community Annotation];gene_id=CPIJ015727;logic_name=vectorbase_culex
CPIJ015824	1	0	0		TFIIH basal transcription factor complex subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0XA64]	ID=gene:CPIJ015824;biotype=protein_coding;description=TFIIH basal transcription factor complex subunit 1 [Source:UniProtKB/TrEMBL%3BAcc:B0XA64];gene_id=CPIJ015824;logic_name=vectorbase_culex
CPIJ015857	0	0	1		NADH dehydrogenase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015857;biotype=protein_coding;description=NADH dehydrogenase%2C putative [Source:VB Community Annotation];gene_id=CPIJ015857;logic_name=vectorbase_culex
CPIJ015868	0	0	1		Dipeptidyl-peptidase [Source:UniProtKB/TrEMBL%3BAcc:B0X8I8]	ID=gene:CPIJ015868;biotype=protein_coding;description=Dipeptidyl-peptidase [Source:UniProtKB/TrEMBL%3BAcc:B0X8I8];gene_id=CPIJ015868;logic_name=vectorbase_culex
CPIJ015929	0	0	1		Mitochondrial ribosomal protein S18A [Source:UniProtKB/TrEMBL%3BAcc:B0X8R6]	ID=gene:CPIJ015929;biotype=protein_coding;description=Mitochondrial ribosomal protein S18A [Source:UniProtKB/TrEMBL%3BAcc:B0X8R6];gene_id=CPIJ015929;logic_name=vectorbase_culex
CPIJ015946	1	0	0		guanylate cyclase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ015946;biotype=protein_coding;description=guanylate cyclase%2C putative [Source:VB Community Annotation];gene_id=CPIJ015946;logic_name=vectorbase_culex
CPIJ016031	0	0	1		Superoxide dismutase [Cu-Zn] [Source:UniProtKB/TrEMBL%3BAcc:B0X9L3]	ID=gene:CPIJ016031;biotype=protein_coding;description=Superoxide dismutase [Cu-Zn] [Source:UniProtKB/TrEMBL%3BAcc:B0X9L3];gene_id=CPIJ016031;logic_name=vectorbase_culex
CPIJ016041	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X9T2]	ID=gene:CPIJ016041;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X9T2];gene_id=CPIJ016041;logic_name=vectorbase_culex
CPIJ016061	1	1	0		Mitochondrial processing peptidase beta subunit [Source:UniProtKB/TrEMBL%3BAcc:B0X9H8]	ID=gene:CPIJ016061;biotype=protein_coding;description=Mitochondrial processing peptidase beta subunit [Source:UniProtKB/TrEMBL%3BAcc:B0X9H8];gene_id=CPIJ016061;logic_name=vectorbase_culex
CPIJ016081	0	0	1		endophilin a%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ016081;biotype=protein_coding;description=endophilin a%2C putative [Source:VB Community Annotation];gene_id=CPIJ016081;logic_name=vectorbase_culex
CPIJ016121	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X9U9]	ID=gene:CPIJ016121;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0X9U9];gene_id=CPIJ016121;logic_name=vectorbase_culex
CPIJ016167	1	1	0		protein phosphatase 2c [Source:VB Community Annotation]	ID=gene:CPIJ016167;biotype=protein_coding;description=protein phosphatase 2c [Source:VB Community Annotation];gene_id=CPIJ016167;logic_name=vectorbase_culex
CPIJ016318	0	0	1		Larval cuticle protein 8.7 [Source:UniProtKB/TrEMBL%3BAcc:B0XA27]	ID=gene:CPIJ016318;biotype=protein_coding;description=Larval cuticle protein 8.7 [Source:UniProtKB/TrEMBL%3BAcc:B0XA27];gene_id=CPIJ016318;logic_name=vectorbase_culex
CPIJ016327	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA36]	ID=gene:CPIJ016327;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA36];gene_id=CPIJ016327;logic_name=vectorbase_culex
CPIJ016385	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XAB7]	ID=gene:CPIJ016385;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XAB7];gene_id=CPIJ016385;logic_name=vectorbase_culex
CPIJ016408	0	0	1		40S ribosomal protein S30 [Source:UniProtKB/TrEMBL%3BAcc:B0XA46]	ID=gene:CPIJ016408;biotype=protein_coding;description=40S ribosomal protein S30 [Source:UniProtKB/TrEMBL%3BAcc:B0XA46];gene_id=CPIJ016408;logic_name=vectorbase_culex
CPIJ016414	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA52]	ID=gene:CPIJ016414;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA52];gene_id=CPIJ016414;logic_name=vectorbase_culex
CPIJ016420	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA05]	ID=gene:CPIJ016420;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA05];gene_id=CPIJ016420;logic_name=vectorbase_culex
CPIJ016432	0	0	1		vacuolar ATP synthase subunit F [Source:VB Community Annotation]	ID=gene:CPIJ016432;biotype=protein_coding;description=vacuolar ATP synthase subunit F [Source:VB Community Annotation];gene_id=CPIJ016432;logic_name=vectorbase_culex
CPIJ016434	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA91]	ID=gene:CPIJ016434;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA91];gene_id=CPIJ016434;logic_name=vectorbase_culex
CPIJ016435	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA92]	ID=gene:CPIJ016435;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XA92];gene_id=CPIJ016435;logic_name=vectorbase_culex
CPIJ016459	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBM7]	ID=gene:CPIJ016459;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBM7];gene_id=CPIJ016459;logic_name=vectorbase_culex
CPIJ016472	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XAD6]	ID=gene:CPIJ016472;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XAD6];gene_id=CPIJ016472;logic_name=vectorbase_culex
CPIJ016477	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XAE1]	ID=gene:CPIJ016477;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XAE1];gene_id=CPIJ016477;logic_name=vectorbase_culex
CPIJ016479	0	0	1	OBP32	odorant binding protein OBP32 [Source:VB Community Annotation]	ID=gene:CPIJ016479;Name=OBP32;biotype=protein_coding;description=odorant binding protein OBP32 [Source:VB Community Annotation];gene_id=CPIJ016479;logic_name=vectorbase_culex
CPIJ016512	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCI4]	ID=gene:CPIJ016512;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCI4];gene_id=CPIJ016512;logic_name=vectorbase_culex
CPIJ016523	1	0	0		latent nuclear antigen%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ016523;biotype=protein_coding;description=latent nuclear antigen%2C putative [Source:VB Community Annotation];gene_id=CPIJ016523;logic_name=vectorbase_culex
CPIJ016534	0	0	1			ID=gene:CPIJ016534;biotype=protein_coding;gene_id=CPIJ016534;logic_name=vectorbase_culex
CPIJ016568	0	0	1		DNA polymerase epsilon subunit 3 [Source:UniProtKB/TrEMBL%3BAcc:B0XCP4]	ID=gene:CPIJ016568;biotype=protein_coding;description=DNA polymerase epsilon subunit 3 [Source:UniProtKB/TrEMBL%3BAcc:B0XCP4];gene_id=CPIJ016568;logic_name=vectorbase_culex
CPIJ016581	0	0	1		presenilin enhancer%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ016581;biotype=protein_coding;description=presenilin enhancer%2C putative [Source:VB Community Annotation];gene_id=CPIJ016581;logic_name=vectorbase_culex
CPIJ016590	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XB99]	ID=gene:CPIJ016590;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XB99];gene_id=CPIJ016590;logic_name=vectorbase_culex
CPIJ016616	0	0	1		D-tyrosyl-tRNA(Tyr) deacylase [Source:VB Community Annotation]	ID=gene:CPIJ016616;biotype=protein_coding;description=D-tyrosyl-tRNA(Tyr) deacylase [Source:VB Community Annotation];gene_id=CPIJ016616;logic_name=vectorbase_culex
CPIJ016649	1	0	0		UBX domain-containing protein 8 [Source:UniProtKB/TrEMBL%3BAcc:B0XAP2]	ID=gene:CPIJ016649;biotype=protein_coding;description=UBX domain-containing protein 8 [Source:UniProtKB/TrEMBL%3BAcc:B0XAP2];gene_id=CPIJ016649;logic_name=vectorbase_culex
CPIJ016652	0	0	1		histone-lysine N-methyltransferase SETDB1 [Source:VB Community Annotation]	ID=gene:CPIJ016652;biotype=protein_coding;description=histone-lysine N-methyltransferase SETDB1 [Source:VB Community Annotation];gene_id=CPIJ016652;logic_name=vectorbase_culex
CPIJ016728	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBA6]	ID=gene:CPIJ016728;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBA6];gene_id=CPIJ016728;logic_name=vectorbase_culex
CPIJ016731	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBB0]	ID=gene:CPIJ016731;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBB0];gene_id=CPIJ016731;logic_name=vectorbase_culex
CPIJ016734	0	0	1		cysteine-rich venom protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ016734;biotype=protein_coding;description=cysteine-rich venom protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ016734;logic_name=vectorbase_culex
CPIJ016740	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBB8]	ID=gene:CPIJ016740;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBB8];gene_id=CPIJ016740;logic_name=vectorbase_culex
CPIJ016757	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBM2]	ID=gene:CPIJ016757;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBM2];gene_id=CPIJ016757;logic_name=vectorbase_culex
CPIJ016764	0	0	1		Ganglioside induced differentiation associated protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCG4]	ID=gene:CPIJ016764;biotype=protein_coding;description=Ganglioside induced differentiation associated protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCG4];gene_id=CPIJ016764;logic_name=vectorbase_culex
CPIJ016775	0	0	1		40S ribosomal protein S26 [Source:UniProtKB/TrEMBL%3BAcc:B0XDJ9]	ID=gene:CPIJ016775;biotype=protein_coding;description=40S ribosomal protein S26 [Source:UniProtKB/TrEMBL%3BAcc:B0XDJ9];gene_id=CPIJ016775;logic_name=vectorbase_culex
CPIJ016783	0	0	1		NADH:ubiquinone dehydrogenase%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ016783;biotype=protein_coding;description=NADH:ubiquinone dehydrogenase%2C putative [Source:VB Community Annotation];gene_id=CPIJ016783;logic_name=vectorbase_culex
CPIJ016792	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBW0]	ID=gene:CPIJ016792;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBW0];gene_id=CPIJ016792;logic_name=vectorbase_culex
CPIJ016819	0	1	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBZ1]	ID=gene:CPIJ016819;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBZ1];gene_id=CPIJ016819;logic_name=vectorbase_culex
CPIJ016843	0	0	1		Histone deacetylase complex subunit SAP18 [Source:UniProtKB/TrEMBL%3BAcc:B0XBD8]	ID=gene:CPIJ016843;biotype=protein_coding;description=Histone deacetylase complex subunit SAP18 [Source:UniProtKB/TrEMBL%3BAcc:B0XBD8];gene_id=CPIJ016843;logic_name=vectorbase_culex
CPIJ016928	0	0	1	SG15P4	15.4 kda salivary peptide [Source:VB Community Annotation]	ID=gene:CPIJ016928;Name=SG15P4;biotype=protein_coding;description=15.4 kda salivary peptide [Source:VB Community Annotation];gene_id=CPIJ016928;logic_name=vectorbase_culex
CPIJ016965	0	0	1	OBP28	odorant binding protein OBP28 [Source:VB Community Annotation]	ID=gene:CPIJ016965;Name=OBP28;biotype=protein_coding;description=odorant binding protein OBP28 [Source:VB Community Annotation];gene_id=CPIJ016965;logic_name=vectorbase_culex
CPIJ016967	0	0	1	OBP30	odorant binding protein OBP30 [Source:VB Community Annotation]	ID=gene:CPIJ016967;Name=OBP30;biotype=protein_coding;description=odorant binding protein OBP30 [Source:VB Community Annotation];gene_id=CPIJ016967;logic_name=vectorbase_culex
CPIJ016991	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCC5]	ID=gene:CPIJ016991;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCC5];gene_id=CPIJ016991;logic_name=vectorbase_culex
CPIJ016992	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCC5]	ID=gene:CPIJ016992;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCC5];gene_id=CPIJ016992;logic_name=vectorbase_culex
CPIJ017016	0	0	1		Chaperonin [Source:UniProtKB/TrEMBL%3BAcc:B0XCH2]	ID=gene:CPIJ017016;biotype=protein_coding;description=Chaperonin [Source:UniProtKB/TrEMBL%3BAcc:B0XCH2];gene_id=CPIJ017016;logic_name=vectorbase_culex
CPIJ017043	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBU6]	ID=gene:CPIJ017043;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBU6];gene_id=CPIJ017043;logic_name=vectorbase_culex
CPIJ017044	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBU7]	ID=gene:CPIJ017044;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XBU7];gene_id=CPIJ017044;logic_name=vectorbase_culex
CPIJ017062	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XC93]	ID=gene:CPIJ017062;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XC93];gene_id=CPIJ017062;logic_name=vectorbase_culex
CPIJ017105	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XD72]	ID=gene:CPIJ017105;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XD72];gene_id=CPIJ017105;logic_name=vectorbase_culex
CPIJ017106	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XD73]	ID=gene:CPIJ017106;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XD73];gene_id=CPIJ017106;logic_name=vectorbase_culex
CPIJ017176	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCT9]	ID=gene:CPIJ017176;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCT9];gene_id=CPIJ017176;logic_name=vectorbase_culex
CPIJ017205	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCH8]	ID=gene:CPIJ017205;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XCH8];gene_id=CPIJ017205;logic_name=vectorbase_culex
CPIJ017211	0	0	1		Serine/threonine-protein kinase rio2 [Source:UniProtKB/TrEMBL%3BAcc:B0XEY7]	ID=gene:CPIJ017211;biotype=protein_coding;description=Serine/threonine-protein kinase rio2 [Source:UniProtKB/TrEMBL%3BAcc:B0XEY7];gene_id=CPIJ017211;logic_name=vectorbase_culex
CPIJ017240	0	0	1		ubiquitin conjugating enzyme 7 interacting protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ017240;biotype=protein_coding;description=ubiquitin conjugating enzyme 7 interacting protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ017240;logic_name=vectorbase_culex
CPIJ017295	0	0	1		Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XDW4]	ID=gene:CPIJ017295;biotype=protein_coding;description=Putative uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XDW4];gene_id=CPIJ017295;logic_name=vectorbase_culex
CPIJ017326	0	0	1	OBP43	odorant binding protein OBP43 [Source:VB Community Annotation]	ID=gene:CPIJ017326;Name=OBP43;biotype=protein_coding;description=odorant binding protein OBP43 [Source:VB Community Annotation];gene_id=CPIJ017326;logic_name=vectorbase_culex
CPIJ017353	0	1	0		cytoplasmic FMR1-interacting protein [Source:VB Community Annotation]	ID=gene:CPIJ017353;biotype=protein_coding;description=cytoplasmic FMR1-interacting protein [Source:VB Community Annotation];gene_id=CPIJ017353;logic_name=vectorbase_culex
CPIJ017360	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XEE4]	ID=gene:CPIJ017360;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0XEE4];gene_id=CPIJ017360;logic_name=vectorbase_culex
